"Sample ID","Wavelength (nm)","Absorbance"
"WHI-B-1",613,0.009
"WHI-B-1",614,0.009
"WHI-B-1",615,0.009
"WHI-B-1",616,0.009
"WHI-B-1",617,0.009
"WHI-B-1",618,0.009
"WHI-B-1",619,0.009
"WHI-B-1",620,0.009
"WHI-B-1",621,0.009
"WHI-B-1",622,0.009
"WHI-B-1",623,0.009
"WHI-B-1",624,0.009
"WHI-B-1",625,0.009
"WHI-B-1",626,0.009
"WHI-B-1",627,0.009
"WHI-B-1",628,0.009
"WHI-B-1",629,0.009
"WHI-B-1",630,0.009
"WHI-B-1",631,0.009
"WHI-B-1",632,0.009
"WHI-B-1",633,0.009
"WHI-B-1",634,0.009
"WHI-B-1",635,0.009
"WHI-B-1",636,0.009
"WHI-B-1",637,0.008
"WHI-B-1",638,0.008
"WHI-B-1",639,0.008
"WHI-B-1",640,0.008
"WHI-B-1",641,0.008
"WHI-B-1",642,0.008
"WHI-B-1",643,0.008
"WHI-B-1",644,0.008
"WHI-B-1",645,0.008
"WHI-B-1",646,0.008
"WHI-B-1",647,0.008
"WHI-B-1",648,0.008
"WHI-B-1",649,0.008
"WHI-B-1",650,0.008
"WHI-B-1",651,0.008
"WHI-B-1",652,0.008
"WHI-B-1",653,0.008
"WHI-B-1",654,0.008
"WHI-B-1",655,0.008
"WHI-B-1",656,0.008
"WHI-B-1",657,0.008
"WHI-B-1",658,0.008
"WHI-B-1",659,0.008
"WHI-B-1",660,0.008
"WHI-B-1",661,0.008
"WHI-B-1",662,0.008
"WHI-B-1",663,0.008
"WHI-B-1",664,0.008
"WHI-B-1",665,0.008
"WHI-B-1",666,0.008
"WHI-B-1",667,0.008
"WHI-B-1",668,0.008
"WHI-B-1",669,0.008
"WHI-B-1",670,0.008
"WHI-B-1",671,0.008
"WHI-B-1",672,0.008
"WHI-B-1",673,0.008
"WHI-B-1",674,0.008
"WHI-B-1",675,0.008
"WHI-B-1",676,0.008
"WHI-B-1",677,0.008
"WHI-B-1",678,0.008
"WHI-B-1",679,0.008
"WHI-B-1",680,0.008
"WHI-B-1",681,0.008
"WHI-B-1",682,0.008
"WHI-B-1",683,0.008
"WHI-B-1",684,0.008
"WHI-B-1",685,0.008
"WHI-B-1",686,0.008
"WHI-B-1",687,0.008
"WHI-B-1",688,0.008
"WHI-B-1",689,0.008
"WHI-B-1",690,0.008
"WHI-B-1",691,0.008
"WHI-B-1",692,0.008
"WHI-B-1",693,0.008
"WHI-B-1",694,0.008
"WHI-B-1",695,0.008
"WHI-B-1",696,0.008
"WHI-B-1",697,0.008
"WHI-B-1",698,0.008
"WHI-B-1",699,0.008
"WHI-B-1",700,0.008
"WHI-B-1",701,0.008
"WHI-B-1",702,0.008
"WHI-B-1",703,0.007
"WHI-B-1",704,0.008
"WHI-B-1",705,0.008
"WHI-B-1",706,0.008
"WHI-B-1",707,0.008
"WHI-B-1",708,0.008
"WHI-B-1",709,0.008
"WHI-B-1",710,0.007
"WHI-B-1",711,0.007
"WHI-B-1",712,0.007
"WHI-B-1",713,0.007
"WHI-B-1",714,0.007
"WHI-B-1",715,0.007
"WHI-B-1",716,0.007
"WHI-B-1",717,0.007
"WHI-B-1",718,0.007
"WHI-B-1",719,0.007
"WHI-B-1",720,0.007
"WHI-B-1",721,0.007
"WHI-B-1",722,0.007
"WHI-B-1",723,0.007
"WHI-B-1",724,0.007
"WHI-B-1",725,0.007
"WHI-B-1",726,0.007
"WHI-B-1",727,0.007
"WHI-B-1",728,0.007
"WHI-B-1",729,0.007
"WHI-B-1",730,0.007
"WHI-B-1",731,0.007
"WHI-B-1",732,0.007
"WHI-B-1",733,0.007
"WHI-B-1",734,0.007
"WHI-B-1",735,0.007
"WHI-B-1",736,0.007
"WHI-B-1",737,0.007
"WHI-B-1",738,0.007
"WHI-B-1",739,0.007
"WHI-B-1",740,0.007
"WHI-B-1",741,0.007
"WHI-B-1",742,0.007
"WHI-B-1",743,0.007
"WHI-B-1",744,0.007
"WHI-B-1",745,0.007
"WHI-B-1",746,0.007
"WHI-B-1",747,0.007
"WHI-B-1",748,0.007
"WHI-B-1",749,0.007
"WHI-B-1",750,0.007
"WHI-B-1",751,0.007
"WHI-B-1",752,0.007
"WHI-B-1",753,0.007
"WHI-B-1",754,0.007
"WHI-B-1",755,0.007
"WHI-B-1",756,0.007
"WHI-B-1",757,0.007
"WHI-B-1",758,0.007
"WHI-B-1",759,0.007
"WHI-B-1",760,0.008
"WHI-B-1",761,0.007
"WHI-B-1",762,0.007
"WHI-B-1",763,0.007
"WHI-B-1",764,0.007
"WHI-B-1",765,0.008
"WHI-B-1",766,0.008
"WHI-B-1",767,0.007
"WHI-B-1",768,0.007
"WHI-B-1",769,0.007
"WHI-B-1",770,0.007
"WHI-B-1",771,0.007
"WHI-B-1",772,0.008
"WHI-B-1",773,0.008
"WHI-B-1",774,0.007
"WHI-B-1",775,0.007
"WHI-B-1",776,0.007
"WHI-B-1",777,0.007
"WHI-B-1",778,0.007
"WHI-B-1",779,0.007
"WHI-B-1",780,0.007
"WHI-B-1",781,0.007
"WHI-B-1",782,0.007
"WHI-B-1",783,0.007
"WHI-B-1",784,0.008
"WHI-B-1",785,0.007
"WHI-B-1",786,0.007
"WHI-B-1",787,0.007
"WHI-B-1",788,0.007
"WHI-B-1",789,0.008
"WHI-B-1",790,0.008
"WHI-B-1",791,0.008
"WHI-B-1",792,0.008
"WHI-B-1",793,0.008
"WHI-B-1",794,0.007
"WHI-B-1",795,0.007
"WHI-B-1",796,0.007
"WHI-B-1",797,0.007
"WHI-B-1",798,0.007
"WHI-B-1",799,0.007
"WHI-B-1",800,0.007
"WHI-B-10",220,0.574
"WHI-B-10",221,0.636
"WHI-B-10",222,0.709
"WHI-B-10",223,0.771
"WHI-B-10",224,0.826
"WHI-B-10",225,0.876
"WHI-B-10",226,0.915
"WHI-B-10",227,0.948
"WHI-B-10",228,0.977
"WHI-B-10",229,0.999
"WHI-B-10",230,1.015
"WHI-B-10",231,1.029
"WHI-B-10",232,1.036
"WHI-B-10",233,1.044
"WHI-B-10",234,1.049
"WHI-B-10",235,1.053
"WHI-B-10",236,1.055
"WHI-B-10",237,1.054
