"","Sample ID","Site","Vegetation","Mesostigmata","Oribatida","Astigmatina","Prostigmata","Symphypleona","Entomobryomorpha","Poduromorpha","Neelidae","Araneae","Enchytraeidae","Thysanoptera","Diptera","Stigmus","Chilopoda","Diplopoda","Staphylinidae","Tingidae","Lasius flavus","Coleoptera","Diplura","Parasitoid Wasp","Pseudoscorpiones","Oniscidea","Unknown","Total Mesofauna Catch","Total Invertebrate Catch","Percentage Mites","Percentage Collembola","Percentage Other","CoreVolume","1000s Individuals per m2 to 10 cm depth","Dry soil mass (g)","Individuals per 100g dry soil","Mesostigmata per 100 g dry soil mass","Oribatida per 100 g dry soil mass","Astigmatina per 100 g dry soil mass","Prostigmata per 100 g dry soil mass","Entomobryomorpha per 100 g dry soil mass","Poduromorpha per 100 g dry soil mass","Symphypleona per 100 g dry soil mass","Neelidae per 100 g dry soil mass"
"BRI-H-4","BRI-H-4","Bridestones","Heather",13,147,73,17,0,7,6,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,271,92.2509225092251,5.53505535055351,2.2140221402214,0.000196349540849362,134.963391741927,237.4,111.625947767481,5.4759898904802,61.9208087615838,30.7497893850042,7.1609098567818,2.9486099410278,2.5273799494524,0,0.8424599831508
"BRI-H-5","BRI-H-5","Bridestones","Heather",43,155,64,35,8,2,141,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,450,453,65.5629139072848,33.7748344370861,0.662251655629134,0.000196349540849362,229.183118052329,273.2,164.714494875549,15.7393850658858,56.7349926793558,23.4260614934114,12.8111273792094,0.732064421669107,51.610541727672,2.92825768667643,0.732064421669107
"BRI-H-6","BRI-H-6","Bridestones","Heather",37,184,87,42,0,7,40,5,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,6,402,414,84.5410628019324,12.56038647343,2.89855072463767,0.000196349540849362,204.736918793414,147.1,273.283480625425,25.1529571719918,125.084976206662,59.1434398368457,28.5520054384772,4.75866757307954,27.1923861318831,0,3.39904826648538
"BRI-H-7","BRI-H-7","Bridestones","Heather",6,141,48,17,0,10,11,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,233,241,87.9668049792531,8.71369294605809,3.3195020746888,0.000196349540849362,118.665925569317,100.1,232.767232767233,5.99400599400599,140.859140859141,47.952047952048,16.983016983017,9.99000999000999,10.989010989011,0,0
"BRI-H-8","BRI-H-8","Bridestones","Heather",9,452,212,53,0,7,11,2,0,15,0,1,0,0,0,0,0,0,0,6,0,0,0,1,746,769,94.408322496749,2.60078023407022,2.99089726918076,0.000196349540849362,379.934680148972,42,1776.19047619048,21.4285714285714,1076.19047619048,504.761904761905,126.190476190476,16.6666666666667,26.1904761904762,0,4.76190476190476
"BRI-H-9","BRI-H-9","Bridestones","Heather",20,248,142,32,1,21,29,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,499,502,88.0478087649402,11.3545816733068,0.597609561752989,0.000196349540849362,254.138613129138,65.1,766.513056835638,30.7219662058372,380.952380952381,218.125960061444,49.1551459293395,32.258064516129,44.5468509984639,1.53609831029186,9.21658986175115
"HAW-B-1","HAW-B-1","Haweswater","Bracken",22,140,15,18,2,4,6,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,215,219,89.041095890411,9.1324200913242,1.82648401826484,0.000196349540849362,109.498600847224,82.8,259.661835748792,26.5700483091787,169.082125603865,18.1159420289855,21.7391304347826,4.83091787439614,7.2463768115942,2.41545893719807,9.66183574879227
"HAW-B-10","HAW-B-10","Haweswater","Bracken",10,152,65,51,0,10,1,5,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,294,300,92.6666666666667,5.33333333333333,2.00000000000001,0.000196349540849362,149.732970460855,123,239.024390243902,8.13008130081301,123.577235772358,52.8455284552846,41.4634146341463,8.13008130081301,0.813008130081301,0,4.0650406504065
"HAW-B-2","HAW-B-2","Haweswater","Bracken",24,257,31,27,2,46,56,5,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,448,455,74.5054945054945,23.956043956044,1.53846153846153,0.000196349540849362,228.164526416541,58.3,768.43910806175,41.1663807890223,440.82332761578,53.1732418524871,46.3121783876501,78.9022298456261,96.0548885077187,3.43053173241853,8.57632933104631
"HAW-B-3","HAW-B-3","Haweswater","Bracken",5,17,10,18,1,2,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,2,54,61,81.9672131147541,6.55737704918033,11.4754098360656,0.000196349540849362,27.5019741662795,111,48.6486486486487,4.5045045045045,15.3153153153153,9.00900900900901,16.2162162162162,1.8018018018018,0.900900900900901,0.900900900900901,0
